caption,videoDuration,likesCount,commentsCount,videoPlayCount,videoViewCount,ownerUsername,ownerFullName,id,timestamp
 Shhhh  it’s Sensory Hours. We’re so happy that Jackson got to enjoy some back-to-school shopping without all the bells and whistles...literally.   ✏️​,33.583,1030,127,49813.0,16505.0,walmart,Walmart,3426065638419087159,2024-08-02T22:48:18.000Z
"Who knew talking about talking could be so exhausting? Say less. #BackToCollege #CollegeLife #BackToSchoolShopping

Shoutout to @SCADpro for this cart collab! ",9.045,253,15,21519.0,2721.0,walmart,Walmart,3423716257359475594,2024-07-30T17:00:25.000Z
"What styles make your kids super-duper happy? @walmart 
#WalmartPartner",30.066,5724,103,480717.0,166050.0,katstickler,Kat Stickler,3425317277337652982,2024-08-01T22:01:58.000Z
"The people have spoken.  Shop the No Boundaries relaunch in the link in our bio. #Y2KFashion #NoBoundaries #WalmartFinds

: @sashthrifts, @grays.pages, @isabellavance, @ssweetheart270, and @vanxssita, @heavensvibes, @karlskiss on TikTok.",9.913,693,43,72291.0,22702.0,walmart,Walmart,3424415696936211987,2024-07-31T16:10:01.000Z
"ICYMI: The membership that gets students all this & more is now 50% off at the link in our bio.  #BackToCollege #CollegeEssentials
#WalmartPlus",16.725,247,16,20747.0,3697.0,walmart,Walmart,3425307828265707451,2024-08-01T21:42:55.000Z
@Walmart Black & Unlimited: The Shoutout hit the road and stopped by #BCFest24 to shoutout your favorite Black businesses and creators. Follow along on Walmart’s channels to see where they’re headed next#BlackandUnlimited,35.9,943,28,5616742.0,1022767.0,walmart,Walmart,3423654575002127647,2024-07-30T15:03:12.000Z
"Your back-to-school trend report , brought to you by @katstickler. ​

​Watch #SchoolStyleDecoded ✏️ for all the ins and outs of back-to-school shopping. #LinkInBio",30.03,389,29,25073.0,4875.0,walmart,Walmart,3425076554292859953,2024-08-01T14:03:30.000Z
We’re digging @k3vingabor’s school supply setup. ⛏️ Send your video gamer back to school in style. Link in bio! #BackToSchool #Minecraft #WalmartFinds,41.689,4775,317,154074.0,63993.0,walmart,Walmart,3423784518382167056,2024-07-30T19:16:04.000Z
"Those #FirstDayOfSchool mirror selfies are gonna be LIT. 

Shop all these college finds from @kaitlynedejer & @elli3phant at the link in bio! @WalmartCreator #DormDecor #DormLife #CollegeLife #WalmartFinds",89.673,318,50,49244.0,4659.0,walmart,Walmart,3425178778658459714,2024-08-01T17:36:01.000Z
"No matter what your kid is bumpin’, these headphones groove with any style. ​​Grab all these finds from @noellapalomento & @the_solodad at the link
in bio! @WalmartCreator #BackToSchool #WalmartFinds #MomLife #DadLife",89.673,369,45,29765.0,6962.0,walmart,Walmart,3422171890056500563,2024-07-28T13:52:32.000Z
"ATTN parents, grab your notebooks & get that   on back-to-school shopping. ​

Watch & shop #SchoolStyleDecoded✏️  for hallway-ready gear inspo. ​#LinkInBio",30.03,1129,168,77888.0,18925.0,walmart,Walmart,3422956599992829776,2024-07-29T16:04:39.000Z
Walmart Realm + curated finds by our fave influencers = passing the dorm fit check.  Explore & shop at the link in bio now.,30.03,288,24,30389.0,4048.0,walmart,Walmart,3423052730571632036,2024-07-29T19:02:13.000Z
"Get in parents, we’re going #BackToSchool shopping with​ @katstickler and @Walmart. ️ ​

The #SchoolStyleDecoded ✏️ runway show drops 7/29 with​ kid-styled looks, ready to flex in the hallways. #LinkInBio",9.676,28546,349,1519254.0,604037.0,walmart,Walmart,3420748902111377451,2024-07-26T15:01:07.000Z
