User_ID,Page_Visits,In_Links,Out_Links,Most_Visited_Link
user_1,458,9,13,link_39
user_2,356,2,13,link_34
user_3,403,11,14,link_28
user_4,248,8,9,link_44
user_5,350,3,10,link_45
user_6,60,7,15,link_18
user_7,425,14,14,link_17
user_8,100,9,6,link_22
user_9,420,7,9,link_4
user_10,439,11,10,link_48
user_11,285,2,13,link_49
user_12,261,5,4,link_41
user_13,384,2,12,link_12
user_14,359,13,3,link_14
user_15,106,2,15,link_34
user_16,181,9,13,link_39
user_17,309,11,12,link_7
user_18,156,9,12,link_38
user_19,435,4,11,link_18
user_20,144,3,15,link_23
user_21,110,0,14,link_49
user_22,383,14,14,link_44
user_23,458,5,9,link_14
user_24,389,11,12,link_16
user_25,316,2,11,link_12
user_26,180,5,6,link_39
user_27,68,11,0,link_22
user_28,480,0,8,link_14
user_29,203,7,11,link_28
user_30,374,7,8,link_13
user_31,214,9,11,link_6
user_32,228,4,9,link_28
user_33,324,6,14,link_43
user_34,270,14,10,link_12
user_35,495,10,12,link_10
user_36,211,9,10,link_33
user_37,204,1,2,link_39
user_38,92,9,14,link_33
user_39,467,1,2,link_49
user_40,171,9,15,link_38
user_41,78,2,5,link_1
user_42,73,7,14,link_21
user_43,383,6,15,link_12
user_44,283,6,10,link_14
user_45,157,14,1,link_26
user_46,318,8,8,link_22
user_47,370,15,7,link_25
user_48,353,1,7,link_4
user_49,214,8,14,link_30
user_50,360,11,14,link_16
user_51,194,12,9,link_26
user_52,299,12,4,link_23
user_53,337,8,11,link_6
user_54,69,0,15,link_35
user_55,72,0,13,link_38
user_56,95,15,11,link_2
user_57,173,13,8,link_2
user_58,280,9,8,link_11
user_59,414,8,7,link_50
user_60,291,1,5,link_30
user_61,104,4,4,link_33
user_62,111,5,7,link_26
user_63,194,0,0,link_17
user_64,416,6,11,link_11
user_65,472,12,14,link_46
user_66,181,13,0,link_25
user_67,378,4,4,link_34
user_68,56,12,11,link_10
user_69,439,12,11,link_40
user_70,432,11,0,link_17
user_71,466,7,10,link_5
user_72,225,7,13,link_13
user_73,239,1,0,link_2
user_74,310,10,5,link_18
user_75,246,10,8,link_45
user_76,223,15,6,link_27
user_77,354,15,12,link_21
user_78,246,4,11,link_42
user_79,350,0,3,link_6
user_80,162,10,0,link_32
user_81,397,5,11,link_42
user_82,220,0,3,link_3
user_83,74,14,14,link_14
user_84,294,7,7,link_16
user_85,428,4,11,link_18
user_86,359,2,10,link_7
user_87,426,0,2,link_5
user_88,240,6,6,link_30
user_89,395,11,1,link_32
user_90,456,9,2,link_37
user_91,183,6,9,link_17
user_92,281,9,13,link_17
user_93,336,0,7,link_44
user_94,241,12,15,link_1
user_95,228,1,8,link_48
user_96,83,12,3,link_7
user_97,154,12,5,link_4
user_98,248,4,8,link_6
user_99,93,11,7,link_25
user_100,182,6,15,link_15
user_101,58,10,15,link_33
user_102,320,3,12,link_1
user_103,417,5,8,link_38
user_104,384,6,8,link_37
user_105,280,10,7,link_38
user_106,196,1,10,link_47
user_107,218,6,14,link_47
user_108,165,0,3,link_39
user_109,260,0,9,link_26
user_110,403,3,15,link_43
user_111,273,9,10,link_7
user_112,284,13,9,link_24
user_113,485,2,12,link_15
user_114,109,5,6,link_11
user_115,429,1,4,link_27
user_116,359,13,1,link_16
user_117,307,11,14,link_9
user_118,332,10,13,link_23
user_119,122,12,2,link_10
user_120,494,10,8,link_50
